cohorte,MOB,bgi_sum,monto_sum,pct_impago
2023-06-01,25,2332779.5685,19151054.62,12.1809457222466
2023-06-01,26,2332779.5685,19151054.62,12.1809457222466
2023-06-01,27,2328491.1653,19151054.62,12.158553205045372
2023-06-01,28,2507209.386,19151054.62,13.091756228305298
2023-06-01,29,2442309.9785,19151054.62,12.75287459077802
2023-07-01,1,0.0,20423491.2184,0.0
2023-07-01,2,0.0,20423491.2184,0.0
2023-07-01,3,0.0,20423491.2184,0.0
2023-07-01,4,0.0,20423491.2184,0.0
2023-07-01,5,370012.4754,20423491.2184,1.8117004161690393
2023-07-01,6,370012.4754,20423491.2184,1.8117004161690393
2023-07-01,7,369173.9218,20423491.2184,1.8075945872927082
2023-07-01,8,509878.2154,20423491.2184,2.496528188778218
2023-07-01,9,563947.5154,20423491.2184,2.761268920036191
2023-07-01,10,560947.5154,20423491.2184,2.7465799524746743
2023-07-01,11,554947.5154,20423491.2184,2.717202017351641
2023-07-01,12,654340.9654,20423491.2184,3.2038644049773866
2023-07-01,13,651340.9654,20423491.2184,3.18917543741587
2023-07-01,14,651340.9654,20423491.2184,3.18917543741587
2023-07-01,15,852840.7097,20423491.2184,4.175783173308077
2023-07-01,16,852840.7097,20423491.2184,4.175783173308077
2023-07-01,17,852840.7097,20423491.2184,4.175783173308077
2023-07-01,18,852840.7097,20423491.2184,4.175783173308077
2023-07-01,19,997253.0897,20423491.2184,4.882872761741887
2023-07-01,20,1029457.2397,20423491.2184,5.040554666640627
2023-07-01,21,1029457.2397,20423491.2184,5.040554666640627
2023-07-01,22,1237970.9097,20423491.2184,6.061504844894897
2023-07-01,23,1346549.0297,20423491.2184,6.593138339085056
2023-07-01,24,1343210.4314000001,20423491.2184,6.576791485041844
2023-07-01,25,1340682.6397,20423491.2184,6.564414601613986
2023-07-01,26,1427244.6597,20423491.2184,6.988250169560441
2023-07-01,27,1427244.6597,20423491.2184,6.988250169560441
2023-07-01,28,1419215.6597,20423491.2184,6.948937596043302
2023-08-01,1,0.0,17385507.9395,0.0
2023-08-01,2,0.0,17385507.9395,0.0
2023-08-01,3,0.0,17385507.9395,0.0
2023-08-01,4,0.0,17385507.9395,0.0
2023-08-01,5,0.0,17385507.9395,0.0
2023-08-01,6,294563.53,17385507.9395,1.6943049983069491
2023-08-01,7,149178.54,17385507.9395,0.8580625916661616
2023-08-01,8,423828.8581,17385507.9395,2.4378284463984956
2023-08-01,9,423828.8581,17385507.9395,2.4378284463984956
2023-08-01,10,423828.8581,17385507.9395,2.4378284463984956
2023-08-01,11,423828.8581,17385507.9395,2.4378284463984956
2023-08-01,12,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,13,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,14,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,15,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,16,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,17,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,18,500464.5481,17385507.9395,2.8786305803751695
2023-08-01,19,602963.3981,17385507.9395,3.46819546600685
2023-08-01,20,601120.7581,17385507.9395,3.4575967535250967
2023-08-01,21,607390.7481,17385507.9395,3.4936612160752794
2023-08-01,22,607390.7481,17385507.9395,3.4936612160752794
2023-08-01,23,761099.8681,17385507.9395,4.377783328209672
2023-08-01,24,759398.9086,17385507.9395,4.367999550215269
2023-08-01,25,757055.0198,17385507.9395,4.3545176962012455
2023-08-01,26,717187.9881,17385507.9395,4.125205835778567
2023-08-01,27,927082.1756,17385507.9395,5.332499797107811
2023-09-01,1,0.0,19578581.1805,0.0
2023-09-01,2,0.0,19578581.1805,0.0
2023-09-01,3,0.0,19578581.1805,0.0
2023-09-01,4,0.0,19578581.1805,0.0
2023-09-01,5,0.0,19578581.1805,0.0
2023-09-01,6,184849.2399,19578581.1805,0.9441401202458292
2023-09-01,7,184849.2399,19578581.1805,0.9441401202458292
2023-09-01,8,506726.4199,19578581.1805,2.5881672181878663
2023-09-01,9,506544.3087,19578581.1805,2.587237062941574
2023-09-01,10,506544.3087,19578581.1805,2.587237062941574
2023-09-01,11,352486.2587,19578581.1805,1.800366714269732
2023-09-01,12,706253.8787,19578581.1805,3.607278138231075
2023-09-01,13,706253.8787,19578581.1805,3.607278138231075
2023-09-01,14,705665.8977,19578581.1805,3.604274953298626
2023-09-01,15,734903.1886,19578581.1805,3.753607995516823
2023-09-01,16,898055.5386,19578581.1805,4.5869285946749345
2023-09-01,17,1065526.6986,19578581.1805,5.442308044575007
2023-09-01,18,1173116.4286,19578581.1805,5.991835760644433
2023-09-01,19,1162004.8482,19578581.1805,5.935082003579201
2023-09-01,20,1226361.2885999999,19578581.1805,6.263790400815352
2023-09-01,21,1382045.6586,19578581.1805,7.058967377965562
2023-09-01,22,1361645.6586,19578581.1805,6.954771880794818
2023-09-01,23,1484017.267,19578581.1805,7.579799850246865
2023-09-01,24,1530184.487,19578581.1805,7.815604577741531
2023-09-01,25,1507884.487,19578581.1805,7.701704597991157
2023-09-01,26,1577422.6653999998,19578581.1805,8.056879356360568
2023-10-01,1,5187.739999999991,20652118.9,0.025119650071354135
2023-10-01,2,5187.739999999991,20652118.9,0.025119650071354135
2023-10-01,3,5187.739999999991,20652118.9,0.025119650071354135
2023-10-01,4,362559.98,20652118.9,1.7555582638060445
2023-10-01,5,362559.98,20652118.9,1.7555582638060445
2023-10-01,6,1164323.4457999999,20652118.9,5.637791702816508
2023-10-01,7,1164323.4457999999,20652118.9,5.637791702816508
2023-10-01,8,1163061.72,20652118.9,5.631682277405443
2023-10-01,9,651510.38,20652118.9,3.1546902434306636
2023-10-01,10,651510.38,20652118.9,3.1546902434306636
2023-10-01,11,651510.38,20652118.9,3.1546902434306636
2023-10-01,12,651510.38,20652118.9,3.1546902434306636
2023-10-01,13,694599.5374,20652118.9,3.363333035042715
2023-10-01,14,966033.3596,20652118.9,4.677647675173902
2023-10-01,15,1017541.5707,20652118.9,4.927056519609715
2023-10-01,16,1017541.5707,20652118.9,4.927056519609715
2023-10-01,17,1198126.3032,20652118.9,5.801469132545039
2023-10-01,18,1198126.3032,20652118.9,5.801469132545039
2023-10-01,19,1315172.4841,20652118.9,6.368220570819975
2023-10-01,20,1311837.4632,20652118.9,6.3520720055509665
2023-10-01,21,1424637.6817,20652118.9,6.898263992175642
2023-10-01,22,1367489.2031999999,20652118.9,6.621544306526339
2023-10-01,23,1471579.931,20652118.9,7.125563910054771
2023-10-01,24,1467895.0744,20652118.9,7.107721398989235
2023-10-01,25,1536216.8795,20652118.9,7.4385436522932284
2023-11-01,1,0.0,14338229.08,0.0
2023-11-01,2,0.0,14338229.08,0.0
2023-11-01,3,0.0,14338229.08,0.0
2023-11-01,4,181129.84,14338229.08,1.2632650726208092
2023-11-01,5,181129.84,14338229.08,1.2632650726208092
2023-11-01,6,378148.48,14338229.08,2.637344388139738
2023-11-01,7,602296.36,14338229.08,4.200632844122476
2023-11-01,8,602296.36,14338229.08,4.200632844122476
2023-11-01,9,627789.1446,14338229.08,4.378428752234721
2023-11-01,10,627789.1446,14338229.08,4.378428752234721
2023-11-01,11,713861.7446,14338229.08,4.97873022265871
2023-11-01,12,765066.0946,14338229.08,5.335847895380396
2023-11-01,13,984598.9246,14338229.08,6.866949322028826
2023-11-01,14,984598.9246,14338229.08,6.866949322028826
2023-11-01,15,1001887.8546,14338229.08,6.9875285783898216
2023-11-01,16,1001887.8546,14338229.08,6.9875285783898216
2023-11-01,17,1061701.2246,14338229.08,7.404688673031022
2023-11-01,18,1200308.5246,14338229.08,8.371386158659421
2023-11-01,19,1249833.6759,14338229.08,8.716792491782394
2023-11-01,20,1249833.6759,14338229.08,8.716792491782394
2023-11-01,21,1408513.6209,14338229.08,9.8234838698783
2023-11-01,22,1407942.2322,14338229.08,9.8194987982435
2023-11-01,23,1540151.3821999999,14338229.08,10.741573269660718
2023-11-01,24,1536151.3821999999,14338229.08,10.71367582167267
2023-12-01,1,0.0,12622274.41,0.0
2023-12-01,2,0.0,12622274.41,0.0
2023-12-01,3,0.0,12622274.41,0.0
2023-12-01,4,212961.81,12622274.41,1.6871904625309124
2023-12-01,5,212961.81,12622274.41,1.6871904625309124
2023-12-01,6,212961.81,12622274.41,1.6871904625309124
2023-12-01,7,212961.81,12622274.41,1.6871904625309124
2023-12-01,8,400330.75,12622274.41,3.1716213496581713
2023-12-01,9,400330.75,12622274.41,3.1716213496581713
2023-12-01,10,400330.75,12622274.41,3.1716213496581713
2023-12-01,11,571274.59,12622274.41,4.525924341712992
2023-12-01,12,564274.59,12622274.41,4.470466824528496
2023-12-01,13,563274.59,12622274.41,4.462544322073568
2023-12-01,14,563274.59,12622274.41,4.462544322073568
2023-12-01,15,693439.25,12622274.41,5.493774160468438
2023-12-01,16,563274.59,12622274.41,4.462544322073568
2023-12-01,17,563274.59,12622274.41,4.462544322073568
2023-12-01,18,632485.31,12622274.41,5.0108664211809035
2023-12-01,19,626085.31,12622274.41,4.960162405469365
2023-12-01,20,700687.47,12622274.41,5.551198201212296
2023-12-01,21,986192.96,12622274.41,7.81311614663272
2023-12-01,22,983632.473,12622274.41,7.792830682089409
2023-12-01,23,1082420.6,12622274.41,8.57547986076465
2024-01-01,1,0.0,12563975.1188,0.0
2024-01-01,2,0.0,12563975.1188,0.0
